Severity,Date/Time,Latitude,Longitude,City,State,Number,Street,Description
3,2019-07-30 10:47:48,41.9666,-104.9523,Wheatland,WY,,US-87 S,At WY-34/Exit 73 - Accident. Blocked ahead.
4,2020-06-30 14:15:49,41.7241,-106.4596,Hanna,WY,,I-80 E,Left lane blocked due to accident on I-80 Eastbound between Exit 235 WY-130 and Exit 255 WY-72.
2,2017-05-11 07:28:58,42.8761,-106.3435,Casper,WY,,US-87 N,At Wardwell Rd/Exit 191 - Accident.
2,2016-11-06 06:35:38,41.5453,-109.6237,Mc Kinnon,WY,,I-80 W,At Westvaco Rd/Exit 72 - Accident.
2,2017-01-05 11:13:52,41.1134,-104.8568,Cheyenne,WY,,I-80 W,Between I-25/US-87/Exit 359 and Roundtop Rd - Accident.
3,2019-05-12 09:53:57,42.7548,-105.4074,Douglas,WY,,US-20 W,Left lane blocked due to accident on I-25 Northbound in Douglas.
4,2017-06-27 15:52:46,43.1814,-105.2597,Douglas,WY,3087, State Highway 59,Closed between Manville and CR-60/Esau Rd - Road closed due to accident.
3,2018-09-05 03:13:18,41.5341,-109.3698,Green River,WY,,I-80 W,Left lane blocked due to accident on I-80 Westbound after Exit 99 US-191 Foothill Blvd.
2,2018-11-05 07:18:02,41.0764,-106.0892,Laramie,WY,3210,State Highway 230,Lane blocked due to accident on WY-230 at USFS Road 539.
4,2017-02-25 15:23:15,41.7412,-106.8303,Hanna,WY,,US-30 E,Closed between I-80 and Wheatland - Road closed due to accident.
2,2020-04-16 01:31:07,41.6398,-108.4849,Wamsutter,WY,,US-30 E,At Patrick Draw Road/Exit 146 - Accident.
4,2017-01-04 18:52:20,41.6371,-106.2891,Rock River,WY,,I-80 E,Closed between Wagonhound Road/Exit 267 and WY-13/Exit 272 - Road closed due to accident.
4,2019-02-13 14:08:31,41.7817,-107.1358,Sinclair,WY,,US-30 E,Closed at Lincoln Ave/Exit 219 - Road closed due to accident.
3,2019-02-12 11:21:18,41.7573,-104.8317,Chugwater,WY,,I-25 N,Between Bear Creek Rd/Exit 47 and Bordeaux Rd/Exit 70 - Accident. Blocked ahead.
3,2018-11-24 11:41:28,42.2399,-107.4648,Rawlins,WY,,US-287 N,At Rawlins - Accident. Blocked ahead.
2,2016-11-01 08:48:33,43.1536,-106.3344,Casper,WY,,US-87 S,At Ormsby Rd/Exit 197 - Accident.
2,2019-01-25 14:27:26,41.6878,-106.3806,Hanna,WY,,I-80 W,At Elk Mtn Medicine Bow Rd/Exit 260 - Accident. Right lane blocked.
4,2019-01-20 07:31:36,41.7059,-106.4101,Hanna,WY,,I-80 W,Closed between Elk Mtn Medicine Bow Rd/Exit 260 and Exit 238 - Road closed due to accident.
4,2018-11-09 08:01:30,41.1583,-105.4034,Laramie,WY,,I-80 W,Closed between Vedauwoo Rd/Exit 329 and WY-210/Happy Jack Road/Exit 323 - Road closed due to accident.
4,2017-02-22 08:18:17,44.3392,-106.7459,Buffalo,WY,,US Highway 16 W,Closed at Pole Creek Rd - Road closed due to accident.
2,2017-08-23 14:06:17,41.7664,-110.5589,Kemmerer,WY,32619,US Highway 189,Accident on US-189 Westbound in Kemmerer.
4,2016-07-13 21:56:49,41.1245,-104.8485,Cheyenne,WY,,US-87 S,Closed between US-30/Lincolnway/Exit 9 and I-80/Exit 8 - Road closed due to accident.
2,2018-09-03 14:13:24,41.0402,-104.8942,Cheyenne,WY,,I-25 S,Between Terry Ranch Rd/Exit 2 and Wyoming/Colorado State Line - Accident. Left lane blocked.
3,2018-03-21 05:56:03,41.1144,-105.2749,Cheyenne,WY,,US-30 E,Right lane blocked due to accident on I-80 Eastbound before Exit 339 / County Road 103.
3,2018-11-25 01:22:49,41.1171,-104.8942,Cheyenne,WY,,I-80 W,Entry ramp to I-80 Westbound from WY-222 Westbound closed due to winter storm.
4,2017-03-12 21:26:38,41.2364,-105.437,Laramie,WY,,I-80 W,Closed between WY-210/Happy Jack Road/Exit 323 and I-80-BL/US-30/E Grand Ave/Exit 316 - Road closed due to accident.
4,2016-12-26 21:45:51,41.7414,-106.8371,Hanna,WY,,US-30 E,Closed between US-30/US-287/WY-130/Exit 235 and US-287/3rd Street/Exit 313 - Road closed due to accident.
4,2017-03-06 10:26:12,42.8421,-106.209,Evansville,WY,,I-25 N,Closed between WY-253/Hat Six Rd/Exit 182 and WY-220/Poplar Street/Exit 188B - Road closed due to accident.
2,2017-07-18 03:20:57,41.2982,-105.5976,Laramie,WY,,I-80 E,At US-287/3rd Street/Exit 313 - Accident.
2,2019-08-06 15:27:43,43.4801,-110.7989,Jackson,WY,,State Highway 22,At US-189/W Broadway - Accident. Lane blocked.
2,2017-09-25 16:51:09,41.6878,-106.3806,Hanna,WY,,I-80 W,At Elk Mtn Medicine Bow Rd/Exit 260 - Accident. Right lane blocked.
3,2016-11-18 01:38:25,41.6401,-108.4833,Wamsutter,WY,,I-80 W,Between Patrick Draw Road/Exit 146 and Black Butte Road/Exit 136 - Accident.
4,2017-02-23 12:51:11,41.1135,-104.8526,Cheyenne,WY,,I-80 W,Closed between I-25/US-87/Exit 359 and US-287/3rd Street/Exit 313 - Road closed due to accident.
4,2017-03-12 21:31:53,41.1254,-105.3103,Laramie,WY,,US-30 E,Closed between North Buford Rd/Exit 335 and Otto Rd/Exit 348 - Road closed due to accident.
3,2018-11-25 01:22:49,41.5989,-106.207,Rock River,WY,,I-80 W,Entry ramp to I-80 Westbound from State Highway 13 both ways closed due to winter storm.
4,2016-12-27 16:10:30,43.503,-106.4542,Kaycee,WY,,US-87 S,Closed between Tisdale Mountain Rd/Exit 235 and WY-387/Exit 227 - Road closed due to accident.
4,2017-12-21 04:06:16,41.6398,-108.4849,Wamsutter,WY,,US-30 E,Closed between Patrick Draw Road/Exit 146 and Table Rock Road/Exit 150 - Road closed due to accident.
4,2018-06-06 23:47:10,41.6447,-108.5598,Wamsutter,WY,,I-80 W,Right lane blocked due to accident on I-80 Westbound before Exit 142 / Bitter Creek Rd.
4,2016-12-14 14:22:45,41.1753,-104.0694,Pine Bluffs,WY,,I-80 W,Closed between I-80-BL/US-30-BR/Exit 401 and CR-154/Egbert South Rd/Exit 391 - Road closed due to accident.
4,2018-06-26 19:12:14,41.743,-110.5021,Kemmerer,WY,,US-30 E,Closed at La Barge - Road closed due to accident.
4,2016-12-25 07:41:55,41.6401,-108.4833,Wamsutter,WY,,I-80 W,Closed at Patrick Draw Road/Exit 146 - Road closed due to accident.
2,2018-07-17 03:20:58,41.786,-107.4076,Rawlins,WY,,I-80 W,At Knobs Rd/Exit 204 - Accident. Lane blocked.
4,2019-06-09 11:16:48,41.7236,-106.4578,Hanna,WY,,I-80 W,Closed between WY-72/Exit 255 and Exit 238 - Road closed due to accident.
4,2016-10-09 05:03:46,42.6349,-110.9222,Afton,WY,1, State Highway 241,Closed between WY-241 and Sky View Ln - Road closed due to accident.
2,2019-02-12 08:53:31,44.2181,-106.1092,Buffalo,WY,,I-90 E,At Dead Horse Creek Rd/Exit 91 - Accident. Roadway reduced to 1 lane. Lane blocked.
4,2017-02-20 22:40:45,43.1234,-110.1856,Bondurant,WY,12810, US Highway 189,Closed between US-189/US-191 and US-191 - Road closed due to accident.
4,2018-06-26 19:12:14,41.7455,-110.5229,Kemmerer,WY,,US-30 E,Closed at La Barge - Road closed due to accident.
4,2016-07-11 11:51:47,43.7167,-106.6404,Kaycee,WY,,US-87 N,Closed between WY-191/Mayoworth Rd/Exit 254 and I-25-BL/US-87-BR/Exit 298 - Road closed due to accident.
4,2018-12-05 13:04:34,41.2676,-110.9439,Evanston,WY,,I-80 E,Closed between I-80-BL/US-189-BR/Bear River/Exit 6 and WY-412/WY-414/Exit 39 - Road closed due to accident.
2,2016-07-01 05:48:40,41.1164,-104.9016,Cheyenne,WY,,I-80 E,At Roundtop Rd - Accident.
3,2018-11-25 01:22:49,41.1596,-105.4045,Laramie,WY,,I-80 W,Entry ramp to I-80 Westbound from Vedauwoo Glen Rd both ways closed due to winter storm.
4,2018-02-15 07:25:49,41.3333,-105.6162,Laramie,WY,,I-80 W,Closed between I-80-BL/Curtis Street/Exit 310 and Cooper Cove Road/Exit 279 - Road closed due to accident.
2,2016-11-28 10:01:20,41.307,-110.7274,Fort Bridger,WY,,I-80 W,At US-189/Exit 18 - Accident.
3,2018-02-19 06:54:21,41.693,-106.3842,Hanna,WY,,Bridge St,Left lane blocked due to accident on I-80 Westbound at Exit 260 WY-72 Bridge St.
4,2018-07-07 13:23:20,42.3641,-107.4451,Rawlins,WY,,US-287 S,Closed between WY-220 and WY-789/3rd St - Road closed due to accident.
2,2017-07-12 11:58:01,41.1233,-104.7747,Cheyenne,WY,,I-80 E,At I-80 - Accident.
3,2018-03-29 08:09:39,41.634,-106.2843,Rock River,WY,,I-80 E,Left lane blocked due to accident on I-80 Westbound at Exit 267 Elk Mountain Arlington Rd.
3,2017-12-14 05:09:01,41.7412,-106.8303,Hanna,WY,,I-80 E,Left lane blocked due to accident on I-80 Eastbound between Exit 228 City Road 347 and Exit 235 US-30 US-287.
4,2017-07-19 06:35:57,41.5949,-109.1978,Rock Springs,WY,,I-80 W,Closed at US-191/Elk Street/Exit 104 - Road closed due to accident.
3,2018-06-12 05:53:43,41.2606,-110.9859,Evanston,WY,,I-80 E,Right lane blocked due to accident on I-80 Westbound at Exit 3 I-80 Bus Overthrust Rd.
2,2019-01-24 04:04:24,43.4324,-110.7822,Jackson,WY,2699,S US Highway 89,Center lane blocked due to accident on US-189 at Adams Canyon Rd.
4,2016-12-20 08:48:01,41.3234,-105.6154,Laramie,WY,,I-80 W,Closed between I-80-BL/Curtis Street/Exit 310 and Cooper Cove Road/Exit 279 - Road closed due to accident.
4,2017-01-04 15:39:32,41.117,-104.8741,Cheyenne,WY,,I-80 W,Closed between I-80-BL/Exit 358 and I-80-BL/US-30/E Grand Ave/Exit 316 - Road closed due to accident.
4,2019-07-11 17:17:11,41.7241,-106.4596,Hanna,WY,,I-80 E,Left lane blocked due to accident on I-80 Eastbound from Exit 235 WY-130 to Exit 255 WY-72.
2,2018-12-11 08:31:48,41.1114,-106.0133,Laramie,WY,,WY-10,Lane blocked due to accident on WY-230 near WY-10.
2,2018-11-23 07:55:02,43.6375,-108.2207,Thermopolis,WY,1062, Shoshoni St,At Shoshoni St - Accident. One lane blocked.
4,2016-10-06 23:13:47,44.8798,-107.2616,Dayton,WY,8403, US Highway 14,Closed between WY-343 and US-14A/16th St - Road closed due to accident.
3,2016-07-22 17:42:02,42.8521,-106.2635,Evansville,WY,,I-25 N,Between WY-253/Hat Six Rd/Exit 182 and WY-258/Curtis St/WY Blvd/Exit 185 - Accident.
2,2018-08-13 04:14:18,43.6174,-105.786,Gillette,WY,,State Highway 387,Lane blocked due to accident on WY-387 Westbound at WY-50.
4,2016-07-11 04:29:46,44.7977,-107.9855,Greybull,WY,,US-14A E,Closed at US-14/Bighorn Scenic Bywy - Road closed due to accident.
2,2016-11-14 06:04:44,41.5462,-109.4827,Green River,WY,,US-30 E,At I-80-BL/US-30-BL/Exit 89 - Accident.
2,2018-01-15 18:45:15,43.1722,-111.0186,Alpine,WY,,Wintergreen Dr,Between US-26 and WY-238/Nield Ave - Accident.
4,2018-12-05 16:15:05,41.5414,-109.922,Mc Kinnon,WY,,I-80 W,Closed between WY-374/Exit 68 and I-80-BL/US-189-BR/Bear River/Exit 6 - Road closed due to accident.
2,2018-03-30 07:00:24,41.7415,-107.6711,Wamsutter,WY,,I-80 W,At WY-789/Baggs Rd/Exit 187 - Accident. Left lane blocked.
3,2018-03-30 03:41:10,41.7051,-107.8353,Wamsutter,WY,,I-80 W,Left lane closed due to accident on I-80 Westbound after Exit 187 / WY-789.
