State,Severity,Year,Month,Day,Counter
AL,2,2018,February,12,15
AL,2,2018,February,13,7
AL,2,2018,February,14,8
AL,2,2018,February,15,7
AL,2,2018,February,16,10
AL,2,2018,February,17,5
AL,2,2018,February,18,4
AL,2,2018,February,19,11
AL,2,2018,February,20,5
AL,2,2018,February,21,9
AL,2,2018,February,22,10
AL,2,2018,February,23,10
AL,2,2018,February,24,1
AL,2,2018,February,25,4
AL,2,2018,February,26,13
AL,2,2018,February,27,5
AL,2,2018,February,28,7
AL,2,2018,January,01,1
AL,2,2018,January,02,3
AL,2,2018,January,03,6
AL,2,2018,January,04,9
AL,2,2018,January,05,2
AL,2,2018,January,07,1
AL,2,2018,January,08,13
AL,2,2018,January,09,14
AL,2,2018,January,10,9
AL,2,2018,January,11,18
AL,2,2018,January,12,11
AL,2,2018,January,13,1
AL,2,2018,January,14,1
AL,2,2018,January,15,3
AL,2,2018,January,16,9
AL,2,2018,January,17,18
AL,2,2018,January,18,7
AL,2,2018,January,19,16
AL,2,2018,January,21,1
AL,2,2018,January,22,9
AL,2,2018,January,23,8
AL,2,2018,January,24,8
AL,2,2018,January,25,9
AL,2,2018,January,26,8
AL,2,2018,January,28,1
AL,2,2018,January,29,9
AL,2,2018,January,30,8
AL,2,2018,January,31,9
AL,2,2018,July,02,3
AL,2,2018,July,03,6
AL,2,2018,July,04,7
AL,2,2018,July,05,9
AL,2,2018,July,06,10
AL,2,2018,July,07,1
AL,2,2018,July,08,5
AL,2,2018,July,09,11
AL,2,2018,July,10,13
AL,2,2018,July,11,11
AL,2,2018,July,12,10
AL,2,2018,July,13,6
AL,2,2018,July,16,10
AL,2,2018,July,17,7
AL,2,2018,July,18,5
AL,2,2018,July,19,5
AL,2,2018,July,20,2
AL,2,2018,July,21,1
AL,2,2018,July,22,1
AL,2,2018,July,23,10
AL,2,2018,July,24,5
AL,2,2018,July,25,6
AL,2,2018,July,26,4
AL,2,2018,July,27,11
AL,2,2018,July,28,2
AL,2,2018,July,29,1
AL,2,2018,July,30,9
AL,2,2018,July,31,9
AL,2,2018,June,01,20
AL,2,2018,June,02,3
AL,2,2018,June,03,2
AL,2,2018,June,04,6
AL,2,2018,June,05,9
AL,2,2018,June,06,8
AL,2,2018,June,07,11
AL,2,2018,June,08,8
AL,2,2018,June,09,3
AL,2,2018,June,11,6
AL,2,2018,June,12,15
AL,2,2018,June,13,9
AL,2,2018,June,14,10
AL,2,2018,June,15,11
AL,2,2018,June,16,4
AL,2,2018,June,17,2
AL,2,2018,June,18,14
AL,2,2018,June,19,10
AL,2,2018,June,20,8
AL,2,2018,June,21,7
AL,2,2018,June,22,9
AL,2,2018,June,23,8
AL,2,2018,June,24,3
AL,2,2018,June,25,9
AL,2,2018,June,26,16
AL,2,2018,June,27,12
AL,2,2018,June,28,14
AL,2,2018,June,29,5
AL,2,2018,June,30,5
AL,2,2018,March,01,15
AL,2,2018,March,02,12
AL,2,2018,March,03,1
AL,2,2018,March,04,2
AL,2,2018,March,05,10
AL,2,2018,March,06,14
AL,2,2018,March,07,11
AL,2,2018,March,08,4
AL,2,2018,March,09,10
AL,2,2018,March,10,4
AL,2,2018,March,11,3
AL,2,2018,March,12,12
AL,2,2018,March,13,14
AL,2,2018,March,14,18
AL,2,2018,March,15,14
AL,2,2018,March,16,12
AL,2,2018,March,17,4
AL,2,2018,March,18,3
AL,2,2018,March,19,12
AL,2,2018,March,20,15
AL,2,2018,March,21,5
AL,2,2018,March,22,21
AL,2,2018,March,23,25
AL,2,2018,March,24,5
AL,2,2018,March,25,4
AL,2,2018,March,26,17
AL,2,2018,March,27,10
AL,2,2018,March,28,13
AL,2,2018,March,29,9
AL,2,2018,March,30,20
AL,2,2018,March,31,1
AL,2,2018,May,01,14
AL,2,2018,May,02,8
AL,2,2018,May,03,11
AL,2,2018,May,04,15
AL,2,2018,May,05,6
AL,2,2018,May,06,2
AL,2,2018,May,07,14
AL,2,2018,May,08,12
AL,2,2018,May,09,22
AL,2,2018,May,10,10
AL,2,2018,May,11,15
AL,2,2018,May,12,1
AL,2,2018,May,13,2
AL,2,2018,May,14,14
AL,2,2018,May,15,22
AL,2,2018,May,16,22
AL,2,2018,May,17,17
AL,2,2018,May,18,10
AL,2,2018,May,19,2
AL,2,2018,May,21,23
AL,2,2018,May,22,10
AL,2,2018,May,23,8
AL,2,2018,May,24,8
AL,2,2018,May,25,14
AL,2,2018,May,26,1
AL,2,2018,May,27,4
AL,2,2018,May,28,3
AL,2,2018,May,29,15
AL,2,2018,May,30,12
AL,2,2018,May,31,9
AL,2,2018,November,01,17
AL,2,2018,November,02,30
AL,2,2018,November,03,3
AL,2,2018,November,04,10
AL,2,2018,November,05,29
AL,2,2018,November,06,30
AL,2,2018,November,07,33
AL,2,2018,November,08,23
AL,2,2018,November,09,20
AL,2,2018,November,10,11
AL,2,2018,November,11,12
AL,2,2018,November,12,34
AL,2,2018,November,13,30
AL,2,2018,November,14,35
AL,2,2018,November,15,36
AL,2,2018,November,16,19
AL,2,2018,November,17,3
AL,2,2018,November,18,4
AL,2,2018,November,19,30
AL,2,2018,November,20,33
AL,2,2018,November,21,29
AL,2,2018,November,22,7
AL,2,2018,November,23,21
AL,2,2018,November,24,3
AL,2,2018,November,25,5
AL,2,2018,November,26,22
AL,2,2018,November,27,24
AL,2,2018,November,28,31
AL,2,2018,November,29,17
AL,2,2018,November,30,45
AL,2,2018,October,01,31
AL,2,2018,October,02,35
AL,2,2018,October,03,39
AL,2,2018,October,04,37
AL,2,2018,October,05,24
AL,2,2018,October,06,5
AL,2,2018,October,07,3
AL,2,2018,October,08,20
AL,2,2018,October,09,15
AL,2,2018,October,10,27
AL,2,2018,October,11,16
AL,2,2018,October,12,33
AL,2,2018,October,13,6
AL,2,2018,October,14,7
AL,2,2018,October,15,28
AL,2,2018,October,16,27
AL,2,2018,October,17,32
AL,2,2018,October,18,33
AL,2,2018,October,19,46
AL,2,2018,October,20,11
AL,2,2018,October,21,6
AL,2,2018,October,22,26
AL,2,2018,October,23,31
AL,2,2018,October,24,27
AL,2,2018,October,25,37
AL,2,2018,October,26,35
AL,2,2018,October,27,4
AL,2,2018,October,28,3
AL,2,2018,October,29,25
AL,2,2018,October,30,20
AL,2,2018,October,31,27
AL,2,2018,September,01,1
AL,2,2018,September,02,3
AL,2,2018,September,03,4
AL,2,2018,September,04,17
AL,2,2018,September,05,10
AL,2,2018,September,06,13
AL,2,2018,September,07,16
AL,2,2018,September,08,9
AL,2,2018,September,09,2
AL,2,2018,September,10,24
AL,2,2018,September,11,32
AL,2,2018,September,12,20
AL,2,2018,September,13,24
AL,2,2018,September,14,19
AL,2,2018,September,15,4
AL,2,2018,September,16,2
AL,2,2018,September,17,12
AL,2,2018,September,18,17
AL,2,2018,September,19,16
AL,2,2018,September,20,17
AL,2,2018,September,21,22
AL,2,2018,September,22,3
AL,2,2018,September,23,3
AL,2,2018,September,24,28
AL,2,2018,September,25,27
AL,2,2018,September,26,36
AL,2,2018,September,27,47
AL,2,2018,September,28,20
AL,2,2018,September,29,4
AL,2,2018,September,30,1
AL,2,2019,April,01,29
AL,2,2019,April,02,21
AL,2,2019,April,03,44
AL,2,2019,April,04,37
AL,2,2019,April,05,24
AL,2,2019,April,06,7
AL,2,2019,April,07,8
